Pos(位置),2P%（2分命中率）,FT%（罚球命中率）,TRB(总篮板数),AST（场均助攻）,STL（场均抢断）,PTS（场均得分）
C,0.58,0.7,7.0,3.0,1.0,22.0
C,0.47,0.8,4.0,3.0,1.0,10.0
SF,0.53,0.7,6.0,4.0,1.0,30.0
SG,0.47,0.8,1.0,2.0,1.0,5.0
SF,0.43,0.4,1.0,0.0,0.0,3.0
PF,0.44,0.8,5.0,2.0,1.0,9.0
PG,0.51,0.6,1.0,2.0,0.0,7.0
PG,0.43,0.8,2.0,4.0,1.0,9.0
PF,0.49,0.7,4.0,1.0,0.0,9.0
PF,0.51,0.8,6.0,2.0,0.0,9.0
SF,0.49,0.8,6.0,4.0,1.0,15.0
PF,0.57,0.7,7.0,3.0,1.0,13.0
C,0.55,0.8,5.0,2.0,1.0,7.0
PF,0.5,0.9,10.0,7.0,2.0,24.0
SG,0.51,0.6,2.0,3.0,1.0,20.0
SG,0.55,0.8,5.0,4.0,1.0,22.0
PF,0.53,0.8,1.0,0.0,0.0,2.0
SG,0.43,0.7,0.0,0.0,0.0,1.0
PG,0.42,0.9,2.0,3.0,1.0,7.0
C,0.38,0.7,1.0,0.0,0.0,3.0
SG,0.45,0.8,1.0,1.0,0.0,8.0
SG,0.47,0.6,0.0,0.0,0.0,5.0
SG,0.45,0.8,1.0,1.0,0.0,9.0
SF,0.47,0.8,4.0,3.0,1.0,15.0
SF,0.48,0.7,4.0,1.0,1.0,11.0
SG,0.53,0.9,1.0,2.0,1.0,9.0
C,0.47,0.7,2.0,0.0,0.0,4.0
C,0.39,0.4,1.0,0.0,0.0,4.0
PG,0.44,0.6,2.0,3.0,1.0,4.0
PG,0.45,0.8,1.0,4.0,1.0,5.0
PF,0.56,0.7,8.0,2.0,1.0,16.0
SF,0.43,0.9,1.0,1.0,0.0,3.0
C,0.48,0.7,8.0,2.0,1.0,21.0
SG,0.49,0.8,2.0,3.0,2.0,13.0
SG,0.47,0.8,1.0,1.0,0.0,6.0
C,0.56,0.8,8.0,1.0,1.0,17.0
PF,0.4,0.5,3.0,1.0,0.0,2.0
PF,0.51,0.8,7.0,2.0,1.0,18.0
PG,0.55,0.7,3.0,6.0,2.0,13.0
SG,0.38,0.9,0.0,0.0,0.0,2.0
SG,0.49,0.7,2.0,1.0,1.0,7.0
SF,0.51,0.6,1.0,0.0,0.0,5.0
SG,0.5,0.7,4.0,5.0,2.0,11.0
PG,0.46,0.8,2.0,4.0,2.0,9.0
C,0.49,0.7,6.0,2.0,1.0,6.0
